epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,7101.74,0.68388,0.44038,0.85992,0.63107,0.60024,0.64928,0.51052,1.00064,0.95604,0.91227,5.84525e-05,5.84525e-05,5.84525e-05
152,7147.38,0.69684,0.44286,0.86211,0.66318,0.53019,0.63596,0.50136,1.0169,0.99694,0.91856,5.73288e-05,5.73288e-05,5.73288e-05
153,7193.56,0.67918,0.43563,0.85806,0.76715,0.5063,0.63476,0.50531,1.00728,0.98555,0.91312,5.62052e-05,5.62052e-05,5.62052e-05
154,7239.34,0.68627,0.43953,0.85707,0.69685,0.52748,0.62407,0.50287,1.00441,1.01634,0.91103,5.50816e-05,5.50816e-05,5.50816e-05
155,7285.29,0.68549,0.43868,0.85542,0.55668,0.56226,0.6241,0.49726,1.01491,0.95982,0.91746,5.39579e-05,5.39579e-05,5.39579e-05
156,7331.35,0.67812,0.4382,0.85686,0.56605,0.58905,0.63056,0.50267,1.00387,0.9823,0.91477,5.28342e-05,5.28342e-05,5.28342e-05
157,7377.35,0.68653,0.44186,0.85751,0.67678,0.56523,0.64764,0.51818,0.98956,0.93873,0.90871,5.17106e-05,5.17106e-05,5.17106e-05
158,7428.84,0.66935,0.42574,0.85406,0.62649,0.56163,0.65797,0.51422,0.99927,0.94145,0.91369,5.05869e-05,5.05869e-05,5.05869e-05
159,7474.85,0.68188,0.43629,0.85767,0.5985,0.57477,0.64097,0.5078,0.99283,0.99555,0.91259,4.94633e-05,4.94633e-05,4.94633e-05
160,7520.73,0.68024,0.43379,0.85695,0.6521,0.54292,0.62772,0.50132,0.99422,0.96145,0.91123,4.83396e-05,4.83396e-05,4.83396e-05
161,7566.83,0.67899,0.43669,0.85303,0.58316,0.57297,0.63419,0.50984,0.99267,0.98794,0.9103,4.7216e-05,4.7216e-05,4.7216e-05
162,7612.83,0.67547,0.43433,0.85793,0.7679,0.51229,0.63965,0.51436,0.99253,0.92864,0.91003,4.60923e-05,4.60923e-05,4.60923e-05
163,7659.09,0.68126,0.4313,0.85474,0.63628,0.55898,0.64148,0.50982,1.00394,0.9595,0.91584,4.49687e-05,4.49687e-05,4.49687e-05
164,7705.01,0.67097,0.43257,0.85341,0.68147,0.54973,0.63227,0.50336,0.98905,0.93771,0.90957,4.38451e-05,4.38451e-05,4.38451e-05
